AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL MIRADOR DE LAS CULTU,RCAESC YIITE,01ETC0013J
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) EL CEDAZO,EMSAD,01EMS0016Y
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ESCUELA NORMAL DE AGUASCALIENTES,BACHEST,01EBH0001K
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PLANTEL CONALEP 016 PROFR. J. REFUGIO ESPARZA REYES,CONALEP,01DPT0002I
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PLANTEL CONALEP 063 AGUASCALIENTES II,CONALEP,01DPT0001J
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PLANTEL CONALEP 284 AGUASCALIENTES III,CONALEP,01DPT0004G
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PLANTEL CONALEP 318 AGUASCALIENTES IV,CONALEP,01DPT0006E
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PLANTEL ORIENTE DEL CENTRO DE EDUCACION MEDIA DE LA UAA,AUTÓNOMA,01UBH0001B
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PREPARATORIA ABIERTA,PREPAABIERTA,01EEX0001Z
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,TELEBACHILLERATO COMUNITARIO TROJES DE ALONSO,TELEBACHCOMUNITARIOS,01ETK0046J
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,TELEBACHILLERATO LOMAS DEL AJEDREZ,TELEBACH,01ETH0045X
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,TELEBACHILLERATO TROJES DE ALONSO,TELEBACH,01ETH0059Z
AGUASCALIENTES,AGUASCALIENTES,ARELLANO,TELEBACHILLERATO ARELLANO,TELEBACH,01ETH0061O
AGUASCALIENTES,AGUASCALIENTES,ARELLANO,TELEBACHILLERATO COMUNITARIO ARELLANO,TELEBACHCOMUNITARIOS,01ETK0085L
AGUASCALIENTES,AGUASCALIENTES,CAÑADA GRANDE DE COTORINA,TELEBACHILLERATO COMUNITARIO CAÑADA GRANDE DE COTORINA,TELEBACHCOMUNITARIOS,01ETK0020B
AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ARRIBA (EL TARAY),TELEBACHILLERATO COMUNITARIO EL TARAY,TELEBACHCOMUNITARIOS,01ETK0005J
AGUASCALIENTES,AGUASCALIENTES,CIENEGUILLA (LA LUMBRERA),TELEBACHILLERATO COMUNITARIO CIENEGUILLA (LA LUMBRERA),TELEBACHCOMUNITARIOS,01ETK0016P
AGUASCALIENTES,AGUASCALIENTES,COTORINA (COYOTES),TELEBACHILLERATO COMUNITARIO COTORINA (COYOTES),TELEBACHCOMUNITARIOS,01ETK0086K
AGUASCALIENTES,AGUASCALIENTES,EL CONEJAL,TELEBACHILLERATO COMUNITARIO EL CONEJAL,TELEBACHCOMUNITARIOS,01ETK0051V
AGUASCALIENTES,AGUASCALIENTES,EL DURAZNILLO,TELEBACHILLERATO COMUNITARIO EL DURAZNILLO,TELEBACHCOMUNITARIOS,01ETK0018N
AGUASCALIENTES,AGUASCALIENTES,EL GUARDA,TELEBACHILLERATO COMUNITARIO EL GUARDA,TELEBACHCOMUNITARIOS,01ETK0054S
AGUASCALIENTES,AGUASCALIENTES,EL RELICARIO,TELEBACHILLERATO COMUNITARIO EL RELICARIO,TELEBACHCOMUNITARIOS,01ETK0088I
AGUASCALIENTES,AGUASCALIENTES,EL SALTO DE LOS SALADO,TELEBACHILLERATO COMUNITARIO SALTO DE LOS SALADO,TELEBACHCOMUNITARIOS,01ETK0029T
AGUASCALIENTES,AGUASCALIENTES,EL SALTO DE LOS SALADO,TELEBACHILLERATO SALTO DE LOS SALADO,TELEBACH,01ETH0051H
AGUASCALIENTES,AGUASCALIENTES,EL TURICATE,TELEBACHILLERATO COMUNITARIO SAN ISIDRO (EL TURICATE),TELEBACHCOMUNITARIOS,01ETK0047I
AGUASCALIENTES,AGUASCALIENGTEESNERAL J,OSÉ MARÍA MORELOS Y PAVÓN (CAÑAD,AC OHOLENGDIAO) DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL CAÑADA HONDA,CECYTE,01ETC0014I
AGUASCALIENTES,AGUASCALIENTES,JALTOMATE,TELEBACHILLERATO COMUNITARIO JALTOMATE,TELEBACHCOMUNITARIOS,01ETK0033F
AGUASCALIENTES,AGUASCALIENTES,LOS CAÑOS,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) LOS CAÑOS,EMSAD,01EMS0014Z
AGUASCALIENTES,AGUASCALIENTES,LOS CUERVOS (LOS OJOS DE AGUA),TELEBACHILLERATO COMUNITARIO LOS CUERVOS,TELEBACHCOMUNITARIOS,01ETK0045K
AGUASCALIENTES,AGUASCALIENTES,LOS NEGRITOS,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) LOS NEGRITOS,EMSAD,01EMS0015Z
AGUASCALIENTES,AGUASCALIENTES,MATAMOROS [CONGREGACIÓN],TELEBACHILLERATO COMUNITARIO MATAMOROS,TELEBACHCOMUNITARIOS,01ETK0099O
AGUASCALIENTES,AGUASCALIENTES,MONTORO,TELEBACHILLERATO COMUNITARIO MONTORO,TELEBACHCOMUNITARIOS,01ETK0048H
AGUASCALIENTES,AGUASCALIENTES,NORIAS DE OJOCALIENTE,TELEBACHILLERATO COMUNITARIO NORIAS DE OJOCALIENTE,TELEBACHCOMUNITARIOS,01ETK0093U
AGUASCALIENTES,AGUASCALIENTES,NORIAS DEL PASO HONDO,TELEBACHILLERATO COMUNITARIO NORIAS DEL PASO HONDO,TELEBACHCOMUNITARIOS,01ETK0015Q
AGUASCALIENTES,AGUASCALIENTES,PEÑUELAS (EL CIENEGAL),CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 279,UEMSTIS,01DCT0279R
AGUASCALIENTES,AGUASCALIENTES,PEÑUELAS (EL CIENEGAL),TELEBACHILLERATO COMUNITARIO PEÑUELAS,TELEBACHCOMUNITARIOS,01ETK0030I
AGUASCALIENTES,AGUASCALIENTES,PEÑUELAS (EL CIENEGAL),TELEBACHILLERATO PEÑUELAS,TELEBACH,01ETH0052G
AGUASCALIENTES,AGUASCALIENTES,POCITOS,TELEBACHILLERATO COMUNITARIO POCITOS,TELEBACHCOMUNITARIOS,01ETK0073G
AGUASCALIENTES,AGUASCALIENTES,SAN FELIPE [VIÑEDOS],TELEBACHILLERATO COMUNITARIO SAN FELIPE (VIÑEDOS),TELEBACHCOMUNITARIOS,01ETK0095S
AGUASCALIENTES,AGUASCALIENTES,SAN IGNACIO,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) SAN IGNACIO,EMSAD,01EMS0003U
AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE LA ORDEÑA,TELEBACHILLERATO COMUNITARIO SAN JOSE DE LA ORDEÑA,TELEBACHCOMUNITARIOS,01ETK0096R
AGUASCALIENTES,AGUASCALIENTES VIL,LA LICENCIADO JESÚS TERÁN (CALVILLI,TCOO)LEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL VILLA LIC.JESUS TERAN (,CCAELCVYILTLEITO),01ETC0015H
AGUASCALIENTES,ASIENTOS,AMARILLAS DE ESPARZA,TELEBACHILLERATO COMUNITARIO AMARILLAS DE ESPARZA,TELEBACHCOMUNITARIOS,01ETK0013S
AGUASCALIENTES,ASIENTOS,ASIENTOS,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL ASIENTOS,CECYTE,01ETC0001E
AGUASCALIENTES,ASIENTOS B,IMBALETES AGUASCALIENTES (EL ÁLAM,OT)ELEBACHILLERATO COMUNITARIO BIMBALETES AGUASCALIENTES (EL ALAMO),TELEBACHCOMUNITARIOS,01ETK0098P
AGUASCALIENTES,ASIENTOS,CIÉNEGA GRANDE,TELEBACHILLERATO COMUNITARIO CIENEGA GRANDE,TELEBACHCOMUNITARIOS,01ETK0028U
AGUASCALIENTES,ASIENTOS,EL POLVO,TELEBACHILLERATO COMUNITARIO EL POLVO,TELEBACHCOMUNITARIOS,01ETK0079A
AGUASCALIENTES,ASIENTOS,EMANCIPACIÓN (BORUNDA) [COLONIA,]TELEBACHILLERATO COMUNITARIO COLONIA EMANCIPACION (BORUNDA),TELEBACHCOMUNITARIOS,01ETK0014R
AGUASCALIENTES,ASIENTOS,FRANCISCO VILLA,TELEBACHILLERATO COMUNITARIO FRANCISCO VILLA,TELEBACHCOMUNITARIOS,01ETK0056Q
ENTIDAD,MUNICIPIO,LOCALIDAD,NOMBRE DEL PLANTEL,SUBSISTEMA,CCT
AGUASCALIENTES,ASIENTOS,GORRIONES,TELEBACHILLERATO COMUNITARIO GORRIONES,TELEBACHCOMUNITARIOS,01ETK0012T
AGUASCALIENTES,ASIENTOS,GUADALUPE DE ATLAS,TELEBACHILLERATO COMUNITARIO GUADALUPE DE ATLAS,TELEBACHCOMUNITARIOS,01ETK0042N
AGUASCALIENTES,ASIENTOS,GUADALUPE DE ATLAS,TELEBACHILLERATO GUADALUPE DE ATLAS,TELEBACH,01ETH0056C
AGUASCALIENTES,ASIENTOS,JARILLAS,TELEBACHILLERATO COMUNITARIO JARILLAS,TELEBACHCOMUNITARIOS,01ETK0080Q
AGUASCALIENTES,ASIENTOS,JILOTEPEC,TELEBACHILLERATO COMUNITARIO JILOTEPEC,TELEBACHCOMUNITARIOS,01ETK0057P
AGUASCALIENTES,ASIENTOS,LA DICHOSA,TELEBACHILLERATO COMUNITARIO LA DICHOSA,TELEBACHCOMUNITARIOS,01ETK0081P
AGUASCALIENTES,ASIENTOS,LA GLORIA,TELEBACHILLERATO COMUNITARIO LA GLORIA,TELEBACHCOMUNITARIOS,01ETK0082O
AGUASCALIENTES,ASIENTOS,LAS ADJUNTAS,TELEBACHILLERATO COMUNITARIO LAS ADJUNTAS,TELEBACHCOMUNITARIOS,01ETK0063Z
AGUASCALIENTES,ASIENTOS,LAS FRAGUAS,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) FRAGUAS,EMSAD,01EMS0005S
AGUASCALIENTES,ASIENTOS,LAS NEGRITAS,TELEBACHILLERATO COMUNITARIO LAS NEGRITAS,TELEBACHCOMUNITARIOS,01ETK0064Z
AGUASCALIENTES,ASIENTOS,LICENCIADO ADOLFO LÓPEZ MATEOS,TELEBACHILLERATO ADOLFO LÓPEZ MATEOS,TELEBACH,01ETH0055D
AGUASCALIENTES,ASIENTOS,LICENCIADO ADOLFO LÓPEZ MATEOS,TELEBACHILLERATO COMUNITARIO ADOLFO LOPEZ MATEOS,TELEBACHCOMUNITARIOS,01ETK0040P
AGUASCALIENTES,ASIENTOS,MOLINOS,TELEBACHILLERATO COMUNITARIO MOLINOS,TELEBACHCOMUNITARIOS,01ETK0003L
AGUASCALIENTES,ASIENTOS,NORIA DEL BORREGO (NORIAS),TELEBACHILLERATO COMUNITARIO NORIA DEL BORREGO (NORIAS),TELEBACHCOMUNITARIOS,01ETK0084M
AGUASCALIENTES,ASIENTOS,PILOTOS,TELEBACHILLERATO COMUNITARIO PILOTOS,TELEBACHCOMUNITARIOS,01ETK0006I
AGUASCALIENTES,ASIENTOS,SAN RAFAEL DE OCAMPO,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) SAN RAFAEL DE OCAMPO,EMSAD,01EMS0013A
AGUASCALIENTES,ASIENTOS,VILLA JUÁREZ,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 040,UEMSTAYCM,01DTA0040J
AGUASCALIENTES,CALVILLO,CALVILLO,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD CALVILLO CECATI 186,DGB (CAED),01DER0003N
AGUASCALIENTES,CALVILLO,CALVILLO,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 61,UEMSTAYCM,01DTA0061W
AGUASCALIENTES,CALVILLO,CALVILLO,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL CALVILLO,CECYTE,01ETC0008Y
AGUASCALIENTES,CALVILLO,CHIQUIHUITERO (SAN ISIDRO),TELEBACHILLERATO COMUNITARIO SAN ISIDRO,TELEBACHCOMUNITARIOS,01ETK0044L
AGUASCALIENTES,CALVILLO,CHIQUIHUITERO (SAN ISIDRO),TELEBACHILLERATO SAN ISIDRO,TELEBACH,01ETH0058A
AGUASCALIENTES,CALVILLO,EL CUERVERO (CUERVEROS),TELEBACHILLERATO COMUNITARIO EL CUERVERO,TELEBACHCOMUNITARIOS,01ETK0052U
AGUASCALIENTES,CALVILLO,EL SALITRE,TELEBACHILLERATO COMUNITARIO EL SALITRE,TELEBACHCOMUNITARIOS,01ETK0011U
AGUASCALIENTES,CALVILLO,LA LABOR,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) LA LABOR,EMSAD,01EMS0012B
AGUASCALIENTES,CALVILLO,LA PANADERA,TELEBACHILLERATO COMUNITARIO LA PANADERA,TELEBACHCOMUNITARIOS,01ETK0083N
AGUASCALIENTES,CALVILLO,LA RINCONADA,TELEBACHILLERATO COMUNITARIO LA RINCONADA,TELEBACHCOMUNITARIOS,01ETK0062A
AGUASCALIENTES,CALVILLO,LOS PATOS,TELEBACHILLERATO COMUNITARIO LOS PATOS,TELEBACHCOMUNITARIOS,01ETK0066X
AGUASCALIENTES,CALVILLO,MESA GRANDE,TELEBACHILLERATO COMUNITARIO MESA GRANDE,TELEBACHCOMUNITARIOS,01ETK0010V
AGUASCALIENTES,CALVILLO,OJO DE AGUA,TELEBACHILLERATO COMUNITARIO OJO DE AGUA,TELEBACHCOMUNITARIOS,01ETK0068V
AGUASCALIENTES,CALVILLO,OJOCALIENTE,TELEBACHILLERATO COMUNITARIO PABLO JOSE CALVILLO JIMENEZ,TELEBACHCOMUNITARIOS,01ETK0070J
AGUASCALIENTES,CALVILLO,SAN TADEO,TELEBACHILLERATO COMUNITARIO SAN TADEO,TELEBACHCOMUNITARIOS,01ETK0027V
AGUASCALIENTES,COSÍO,COSÍO,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 103,UEMSTAYCM,01DTA0103E
AGUASCALIENTES,COSÍO,EL REFUGIO DE AGUA ZARCA,TELEBACHILLERATO COMUNITARIO EL REFUGIO DE AGUA ZARCA,TELEBACHCOMUNITARIOS,01ETK0094T
AGUASCALIENTES,COSÍO EL,REFUGIO DE PROVIDENCIA (PROVIDENC,TIAE)LEBACHILLERATO COMUNITARIO REFUGIO DE PROVIDENCIA,TELEBACHCOMUNITARIOS,01ETK0041O
AGUASCALIENTES,COSÍO,EL SALERO,TELEBACHILLERATO COMUNITARIO EL SALERO,TELEBACHCOMUNITARIOS,01ETK0026W
AGUASCALIENTES,COSÍO,LA PUNTA,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) LA PUNTA,EMSAD,01EMS0002V
AGUASCALIENTES,COSÍO,SANTA MARÍA DE LA PAZ,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) SANTA MARIA DE LA PAZ,EMSAD,01EMS0011C
AGUASCALIENTES,COSÍO SO,LEDAD DE ABAJO [ESTACIÓN DE ADAM,ETS]ELEBACHILLERATO COMUNITARIO SOLEDAD DE ABAJO (ESTACION ADAMES),TELEBACHCOMUNITARIOS,01ETK0097Q
AGUASCALIENTES,COSÍO,ZACATEQUILLAS,TELEBACHILLERATO COMUNITARIO SOLEDAD DE ARRIBA,TELEBACHCOMUNITARIOS,01ETK0031H
AGUASCALIENTES,EL LLANO,EL NOVILLO,TELEBACHILLERATO COMUNITARIO EL NOVILLO,TELEBACHCOMUNITARIOS,01ETK0055R
AGUASCALIENTES,EL LLANO,EL TERREMOTO,EDUCACION MEDIA SUPERIOR A DISTANCIA (EMSAD) EL TERREMOTO,EMSAD,01EMS0010D
AGUASCALIENTES,EL LLANO,EL TILDÍO,TELEBACHILLERATO COMUNITARIO EL TILDIO,TELEBACHCOMUNITARIOS,01ETK0089H
AGUASCALIENTES,EL LLANO,LA LUZ,TELEBACHILLERATO COMUNITARIO LA LUZ,TELEBACHCOMUNITARIOS,01ETK0061B
AGUASCALIENTES,EL LLANO,LA TINAJA,TELEBACHILLERATO COMUNITARIO LA TINAJA,TELEBACHCOMUNITARIOS,01ETK0009F
AGUASCALIENTES,EL LLANO,LICENCIADO JESÚS TERÁN (EL MUERTO),TELEBACHILLERATO COMUNITARIO LIC. JESUS TERAN,TELEBACHCOMUNITARIOS,01ETK0065Y
AGUASCALIENTES,EL LLANO,LOMAS DEL REFUGIO (LA LOMA),TELEBACHILLERATO COMUNITARIO LOMA DEL REFUGIO,TELEBACHCOMUNITARIOS,01ETK0036C
AGUASCALIENTES,EL LLANO,OJO DE AGUA DE CRUCITAS,TELEBACHILLERATO COMUNITARIO OJO DE AGUA DE CRUCITAS,TELEBACHCOMUNITARIOS,01ETK0069U
AGUASCALIENTES,EL LLANO,PALO ALTO,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 204,UEMSTAYCM,01DTA0204C
AGUASCALIENTES,EL LLANO,PALO ALTO,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL EL LLANO,CECYTE,01ETC0010M
AGUASCALIENTES,EL LLANO,SAN FRANCISCO DE LOS VIVEROS,TELEBACHILLERATO COMUNITARIO SAN FRANCISCO DE LOS VIVEROS,TELEBACHCOMUNITARIOS,01ETK0034E
AGUASCALIENTES,EL LLANO,SANTA ROSA (EL HUIZACHE),TELEBACHILLERATO COMUNITARIO SANTA ROSA,TELEBACHCOMUNITARIOS,01ETK0002M
AGUASCALIENTES,JESÚS MARÍA,EJIDO LA GUAYANA (RANCHO SECO),TELEBACHILLERATO COMUNITARIO EJIDO LA GUAYANA (RANCHO SECO),TELEBACHCOMUNITARIOS,01ETK0087J
AGUASCALIENTES,JESÚS MARÍA,EX-HACIENDA DE MILPILLAS,TELEBACHILLERATO COMUNITARIO MILPILLAS,TELEBACHCOMUNITARIOS,01ETK0067W
AGUASCALIENTES,JESÚS MARÍA G,ENERAL IGNACIO ZARAGOZA (VENADER,OE)DUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) IGNACIO ZARAGOZA,EMSAD,01EMS0006R
AGUASCALIENTES,JESÚS MARÍA,JESÚS GÓMEZ PORTUGAL (MARGARITAS,)TELEBACHILLERATO COMUNITARIO J. GOMEZ PORTUGAL,TELEBACHCOMUNITARIOS,01ETK0025X
AGUASCALIENTES,JESÚS MARÍA,JESÚS GÓMEZ PORTUGAL (MARGARITAS,)TELEBACHILLERATO J. GÓMEZ PORTUGAL,TELEBACH,01ETH0050I
AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL JESUS MARIA,CECYTE,01ETC0012K
AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) JESUS MARIA,EMSAD,01EMS0004T
AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,PLANTEL CONALEP 247 ING. MIGUEL ANGEL BARBERENA VEGA,CONALEP,01DPT0003H
AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,TELEBACHILLERATO COMUNITARIO JESUS MARIA,TELEBACHCOMUNITARIOS,01ETK0024Y
AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,TELEBACHILLERATO JESÚS MARÍA,TELEBACH,01ETH0049T
AGUASCALIENTES,JESÚS MARÍA,LA FLORIDA,TELEBACHILLERATO COMUNITARIO LA FLORIDA,TELEBACHCOMUNITARIOS,01ETK0090X
AGUASCALIENTES,JESÚS MARÍA,LA TOMATINA,TELEBACHILLERATO COMUNITARIO LA TOMATINA,TELEBACHCOMUNITARIOS,01ETK0008G
AGUASCALIENTES,JESÚS MARÍA,LOS ARQUITOS,TELEBACHILLERATO COMUNITARIO LOS ARQUITOS,TELEBACHCOMUNITARIOS,01ETK0050W
AGUASCALIENTES,JESÚS MARÍA,LOS VÁZQUEZ,TELEBACHILLERATO COMUNITARIO LOS VAZQUEZ,TELEBACHCOMUNITARIOS,01ETK0091W
AGUASCALIENTES,JESÚS MARÍA,LOS VÁZQUEZ,TELEBACHILLERATO LOS VÁZQUEZ,TELEBACH,01ETH0062N
AGUASCALIENTES,JESÚS MARÍA,MARAVILLAS,TELEBACHILLERATO COMUNITARIO MARAVILLAS,TELEBACHCOMUNITARIOS,01ETK0092V
AGUASCALIENTES,JESÚS MARÍA,MARAVILLAS,TELEBACHILLERATO MARAVILLAS,TELEBACH,01ETH0063M
AGUASCALIENTES,JESÚS MARÍA,PASO BLANCO,TELEBACHILLERATO COMUNITARIO PASO BLANCO,TELEBACHCOMUNITARIOS,01ETK0023Z
AGUASCALIENTES,JESÚS MARÍA,PASO BLANCO,TELEBACHILLERATO PASO BLANCO,TELEBACH,01ETH0048U
AGUASCALIENTES,JESÚS MARÍA,SAN ANTONIO DE LOS HORCONES,TELEBACHILLERATO COMUNITARIO SAN ANTONIO DE LOS HORCONES,TELEBACHCOMUNITARIOS,01ETK0076D
AGUASCALIENTES,JESÚS MARÍA,TAPIAS VIEJAS,TELEBACHILLERATO COMUNITARIO TAPIAS VIEJAS,TELEBACHCOMUNITARIOS,01ETK0077C
AGUASCALIENTES,JESÚS MARÍA,VALLADOLID,TELEBACHILLERATO COMUNITARIO VALLADOLID,TELEBACHCOMUNITARIOS,01ETK0022Z
AGUASCALIENTES,JESÚS MARÍA,VALLADOLID,TELEBACHILLERATO VALLADOLID,TELEBACH,01ETH0047V
AGUASCALIENTES,PABELLÓN DE ARTEAGA,EMILIANO ZAPATA,TELEBACHILLERATO COMUNITARIO EMILIANO ZAPATA,TELEBACHCOMUNITARIOS,01ETK0021A
